filename    ; bea_reference; aircraft_registration; page_count; text_preview                                                                                                                                                                                                                                                                                            ; true_domains; true_criticality; difficulty; notes
F-BVZU.pdf  ; BEA2023-0047 ; F-BVZU               ;          7; RAPPORT D’ENQUETE DE SECURITE   www.bea.aero    @BEA_Aero                      août 2023  BEA2023-0047  Incident grave survenu à l’avion SOCATA – RALLYE 180  immatriculé F-BVZU  le 16 février 2023  à Bagnères-de-Luchon (31)    Heure  Vers 19 h 351  Exploitant  Luchon Air Club Moteur  Nature du v; human_factor;            major;       easy; 
F-BAYP.pdf  ; BEA2025-0023 ; F-BAYP               ;         12; RAPPORT D’ENQUETE DE SECURITE   www.bea.aero                mars 2026  BEA2025-0023    Accident du PIPER PA18  immatriculé F-BAYP avec un parapente  le mardi 21 janvier 2025  aux Allues (73)    Heure  Vers 17 h1  Exploitant  Avion : privé  Parapente : société A.Parapente  Nature du vol  Avion : ; human_factor;            major;       hard; 
F-HOLE.pdf  ; BEA2025-0293 ; F-HOLE               ;         10; RAPPORT D’ENQUETE DE SECURITE   www.bea.aero                      mars 2026  BEA2025-0293  Accident du Robin DR400-160  immatriculé F-HOLE  le mercredi 9 juillet 2025 à Bessan (34)    Heure  À 13 h1  Exploitant  Aéroclub de Béziers  Nature du vol  Local, circuit d’aérodrome  Personne à bord  Pil; human_factor | technical; major;      easy; 
78ASI.V2.pdf; BEA2022-0297 ;                      ;          8; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero    @BEA_Aero                      Juillet 2023  BEA2022-0297  Accident survenu au paramoteur MACFLY 185, voile Dudek  Universal 1.1  identifié 78ASI  le 1er juillet 2022  à Broué (28)    Heure  À 9 h 101  Exploitant  Uranus Paramoteur  Nature du vol  ; technical;            major;       easy; Défaillance du voile du paramoteur - cause technique primaire claire
F-HMFA.pdf  ; BEA2022-0228 ; F-HMFA               ;          9; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero    @BEA_Aero                      août 2023  BEA2022-0228  Accident survenu à l'Airbus AS350 - B3E  immatriculé F-HMFA  le 30 mai 2022  à Borce, vallée d'Aste, lieu-dit « Belonce » (64)    Heure  Vers 13 h 001  Exploitant  Héli Béarn  Nature du vol  V; technical|human_factor;       major;      medium; Défaillance mécanique et erreur du pilote - hélicoptère endommagé
F-HSLE.pdf  ; BEA2023-0480 ; F-HSLE               ;          6; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero    @BEA_Aero                      novembre 2024  BEA2023-0480  Accident survenu au CESSNA 208  immatriculé F-HSLE  le dimanche 15 octobre 2023  à Monetier Allemont (05)    Heure  Vers 10 h 501  Exploitant  Skydive Center  Nature du vol  Largage de par; technical;            major;       easy; Défaillance moteur pendant vol de largage - cause technique
F-GOOF.pdf  ; BEA2023-0218 ; F-GOOF               ;          5; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero    @BEA_Aero                      octobre 2023  BEA2023-0218  Accident survenu au ROBIN - DR400 - 140B  immatriculé F-GOOF  le 14 juin 2023  à Pressignac-Vicq (24)    Heure  Vers 18 h 301  Exploitant  Cercle Aérien Peugeot  Nature du vol  Navigation  ; human_factor;            major;       easy; Erreur de navigation et perte de contrôle du pilote
F-HDYN.pdf  ; BEA2023-0276 ; F-HDYN               ;         10; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero    @BEA_Aero                      septembre 2024  BEA2023-0276  Accident survenu au PIPER PA28  immatriculé F-HDYN  le samedi 8 juillet 2023  sur l'aérodrome Lognes - Émerainville (77)    Heure  Vers 15 h 101  Exploitant  Club Air Pilot  Nature du vol; human_factor|technical;       major;      medium; Atterrissage difficile et facteurs mixtes
F-HTPS.pdf  ; BEA2025-0210 ; F-HTPS               ;          6; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero                mars 2026  BEA2025-0210  Accident du TECNAM P2002-JF  immatriculé F-HTPS  le mercredi 12 mars 2025  à Plabennec (29)    Heure  Vers 17 h 251  Exploitant  Iroise Aéro Formation  Nature du vol  Convoyage  Personne à bord  Pilote  Conséque; human_factor|technical;       major;      medium; Erreur pilote combinée à facteur technique
F-PCSA.pdf  ; BEA2023-0032 ; F-PCSA               ;          3; RAPPORT D'ENQUETE DE SECURITE   www.bea.aero    @BEA_Aero                      décembre 2023  BEA2023-0032  Accident survenu au JPM 01, « Médoc »  immatriculé F-PCSA  le 6 février 2023  sur l'aérodrome de Carcassonne-Salvaza (11)    Heure  Vers 13 h 201  Exploitant  Privé  Nature du vol  Vol loc; human_factor;            major;       easy; Défaut de maintenance prédisposant - erreur d'inspection
